id,carat,cut,color,clarity,depth,table,x,y,z,price
4346,1.01,Good,D,SI2,63.9,56,6.36,6.32,4.05,4032
4347,1.5,Ideal,G,VVS2,62.4,57,7.31,7.36,4.58,15826
4348,0.55,Ideal,F,SI2,62.2,55,5.27,5.29,3.28,1142
4349,0.37,Premium,F,VS2,60.1,59,4.68,4.65,2.81,932
4350,0.32,Very Good,E,SI1,61.9,55,4.38,4.42,2.72,638
4351,0.32,Ideal,G,VS1,61.6,55,4.41,4.43,2.72,695
4352,0.3,Premium,E,SI1,62.2,58,4.3,4.27,2.67,552
4353,0.7,Very Good,H,SI1,61.1,60,5.72,5.75,3.51,2360
4354,0.3,Ideal,D,SI1,61.4,55,4.33,4.37,2.67,709
4355,1,Premium,D,SI2,62.6,60,6.4,6.34,3.98,4315
4356,0.42,Ideal,G,VS2,62.1,54,4.79,4.82,2.98,825
4357,0.31,Good,D,VS1,63.1,56,4.33,4.29,2.71,715
4358,0.71,Good,F,VS2,65.2,58,5.62,5.57,3.64,2826
4359,1.01,Ideal,I,SI2,60.5,56,6.56,6.51,3.94,4032
4360,1.53,Very Good,E,SI2,60,59,7.43,7.5,4.49,8294
4361,1.02,Premium,G,VVS2,62.9,58,6.43,6.4,4.03,8107
4362,1.51,Premium,I,SI1,60.9,59,7.36,7.32,4.48,8794
4363,1,Very Good,E,SI2,61.1,60,6.48,6.46,3.95,4256
4364,0.9,Premium,H,VS2,59.1,62,6.3,6.35,3.73,3640
4365,1.06,Premium,H,SI1,62.1,56,6.53,6.56,4.06,5183
4366,0.31,Very Good,D,VVS1,62.7,55,4.38,4.4,2.75,1072
4367,0.7,Ideal,H,VVS2,62.2,56,5.69,5.74,3.55,2507
4368,0.92,Premium,G,SI2,62.2,58,6.23,6.18,3.86,3105
4369,1.01,Ideal,J,SI1,62.1,56,6.42,6.38,3.99,3521
4370,0.35,Premium,E,IF,60.4,60,4.53,4.57,2.75,957
4371,0.31,Ideal,D,VS1,62.1,54,4.36,4.4,2.72,766
4372,1.01,Good,E,SI2,63.3,58,6.36,6.41,4.04,4461
4373,0.51,Ideal,D,VS2,61.5,56,5.16,5.12,3.16,1882
4374,1.01,Good,G,SI1,63.7,60,6.33,6.29,4.02,4873
4375,1.1,Ideal,H,SI2,60.9,57,6.68,6.64,4.06,4488
4376,2.13,Ideal,F,SI2,62.2,55,8.19,8.27,5.11,18578
4377,0.53,Ideal,H,SI1,61.2,56,5.22,5.24,3.2,1038
4378,0.9,Good,G,SI2,59.9,65,6.22,6.12,3.68,2536
4379,2.01,Premium,H,SI1,61.2,58,8.12,8.07,4.96,14698
4380,1.01,Good,D,VS1,62.6,61,6.34,6.37,3.98,7992
4381,1.61,Ideal,G,VS2,62.1,56,7.48,7.52,4.66,13578
4382,0.52,Ideal,G,IF,61.5,56,5.18,5.2,3.19,2182
4383,0.76,Very Good,G,SI1,62.9,56,5.75,5.82,3.64,2800
4384,1.12,Ideal,G,VS1,61.3,57,6.68,6.74,4.1,7123
4385,1.14,Ideal,F,VS2,61.8,55,6.69,6.73,4.15,8256
4386,0.53,Very Good,I,VS1,62.9,57,5.13,5.17,3.23,1257
4387,1.52,Premium,I,SI1,60.4,58,7.38,7.42,4.48,9810
4388,0.35,Ideal,E,VS1,62,57,4.53,4.55,2.81,762
4389,1,Good,J,VS2,58.4,59,6.51,6.45,3.8,3146
4390,0.34,Ideal,D,SI1,61.3,54.2,4.48,4.51,2.76,660
4391,1.21,Premium,G,VVS2,62,58,6.78,6.84,4.22,10111
4392,1.06,Ideal,H,SI2,61.7,56,6.56,6.6,4.06,4580
4393,1.02,Very Good,E,VS2,62.6,58,6.39,6.41,4.01,6522
4394,1.21,Very Good,D,SI2,63.2,56,6.74,6.73,4.25,6373
4395,0.32,Ideal,D,VS2,61.6,55,4.45,4.42,2.73,912
4396,0.51,Ideal,E,SI1,62.2,57,5.1,5.13,3.18,1337
4397,0.57,Ideal,J,VS2,61.2,57,5.33,5.38,3.27,1060
4398,0.56,Ideal,G,VVS2,60.7,55,5.37,5.34,3.25,2012
4399,0.73,Ideal,G,VVS2,61.8,56,5.74,5.79,3.56,3316
4400,1.11,Premium,H,SI1,62.6,58,6.6,6.56,4.13,4838
4401,1.14,Premium,F,SI2,61.9,58,6.75,6.71,4.16,4915
4402,0.3,Very Good,E,SI1,62.1,61,4.21,4.24,2.63,552
4403,0.5,Ideal,D,VS2,62.3,57,5.11,5.06,3.17,1806
4404,0.52,Good,G,SI2,61.5,57,5.18,5.16,3.18,978
4405,0.54,Ideal,G,VS1,61.8,56,5.23,5.26,3.24,1695
4406,0.7,Premium,E,VVS1,60.4,58,5.8,5.77,3.5,3511
4407,0.5,Ideal,I,VVS2,62.6,57,5.08,5.06,3.17,1378
4408,0.38,Ideal,D,VS1,61.4,57,4.69,4.73,2.89,1170
4409,0.9,Very Good,D,SI2,62.1,62,6.18,6.15,3.83,2863
4410,0.31,Ideal,F,VS1,61.4,54,4.38,4.42,2.7,687
4411,1.2,Very Good,H,SI1,59.5,61,6.9,6.97,4.14,6467
4412,0.91,Premium,J,VS1,62.3,59,6.16,6.22,3.85,4530
4413,1.03,Premium,I,VS1,61.9,58,6.51,6.46,4.01,6091
4414,0.32,Very Good,E,VS2,62.4,54,4.36,4.39,2.73,684
4415,0.52,Ideal,J,VS1,62.1,58,5.09,5.14,3.18,1134
4416,1,Fair,D,SI1,57.2,65,6.54,6.49,3.76,4438
4417,1.21,Ideal,E,SI1,62.6,56,6.77,6.82,4.25,10222
4418,1.61,Ideal,I,SI1,62.5,55,7.47,7.49,4.66,9262
4419,0.32,Ideal,G,VS2,62.5,54,4.39,4.35,2.73,720
4420,0.3,Ideal,G,VVS2,62.6,57,4.27,4.24,2.67,691
4421,1.5,Very Good,I,VS2,63.2,56,7.22,7.27,4.57,8644
4422,0.58,Ideal,H,VVS1,62.6,54,5.3,5.33,3.33,1966
4423,1.05,Ideal,H,SI2,62.1,56,6.52,6.49,4.02,4353
4424,1.6,Premium,H,VS1,62.6,58,7.42,7.47,4.67,14674
4425,0.7,Good,J,SI1,64.2,54,5.58,5.62,3.6,1864
4426,0.3,Very Good,E,VS2,63,56,4.28,4.32,2.71,844
4427,0.51,Very Good,H,VS2,63.1,58,5.1,5.04,3.2,1437
4428,0.31,Premium,H,VS1,63,58,4.35,4.33,2.73,698
4429,0.31,Ideal,G,VVS2,62.4,55,4.35,4.32,2.7,907
4430,0.41,Ideal,E,SI1,62.7,56,4.74,4.73,2.97,948
4431,0.98,Very Good,H,SI1,63.1,60,6.24,6.28,3.95,3689
4432,0.82,Ideal,H,SI1,61.6,56,6.03,6.01,3.72,2949
4433,0.54,Ideal,E,VS2,61.5,56,5.25,5.21,3.22,1815
4434,0.7,Good,D,SI1,63.8,61,5.57,5.61,3.56,2239
4435,1.5,Premium,E,SI1,62.8,59,7.3,7.31,4.58,11234
4436,1,Good,H,VS2,63.5,58,6.3,6.34,4.01,4788
4437,0.74,Ideal,G,VVS1,62.1,56,5.78,5.82,3.61,3494
4438,0.9,Premium,H,VS2,60.1,59,6.3,6.24,3.77,4082
4439,2.01,Very Good,I,SI1,63.4,57,7.92,7.87,5.05,13596
4440,0.31,Ideal,F,IF,62,57,4.34,4.37,2.7,929
4441,0.31,Ideal,E,VS2,61.9,55,4.33,4.36,2.69,594
4442,1.6,Ideal,I,SI1,61.7,57,7.5,7.47,4.62,10357
4443,0.32,Ideal,H,VS2,62.3,57,4.38,4.35,2.71,648
4444,1.51,Very Good,I,VS2,61.8,57,7.38,7.32,4.54,8408
4445,1.24,Ideal,H,SI1,62.3,55,6.89,6.84,4.28,6846
4446,0.33,Ideal,E,VVS1,61.7,56,4.46,4.48,2.76,853
4447,0.73,Ideal,E,SI1,61.2,55,5.8,5.84,3.56,3360
4448,1.01,Premium,G,SI1,62.6,58,6.39,6.33,3.99,5006
4449,1.52,Premium,H,SI2,62.3,59,7.29,7.35,4.56,7413
4450,0.41,Ideal,G,VVS2,60.8,55,4.84,4.8,2.93,1007
4451,1.02,Ideal,H,SI2,61.4,53,6.47,6.5,3.98,4918
4452,0.28,Very Good,D,VS1,59.6,56,4.26,4.28,2.56,514
4453,0.31,Ideal,G,VVS1,62.1,55,4.36,4.38,2.71,1074
4454,0.7,Ideal,H,SI1,60.4,59,5.73,5.81,3.49,2211
4455,1,Premium,D,SI1,61.5,59,6.46,6.42,3.97,5951
4456,1.01,Fair,G,SI1,64.6,59,6.32,6.26,4.06,5664
4457,0.33,Ideal,D,SI1,61.9,57,4.4,4.43,2.74,755
4458,1.04,Premium,F,SI2,58.4,58,6.69,6.64,3.92,5062
4459,0.7,Very Good,G,VS1,62.6,56,5.69,5.67,3.55,2759
4460,0.7,Ideal,D,SI2,61.1,56,5.74,5.79,3.52,2657
4461,0.59,Premium,D,SI1,61.1,59,5.42,5.36,3.29,2034
4462,0.56,Very Good,E,VS2,60.3,58,5.36,5.34,3.23,1819
4463,1.53,Premium,H,VVS2,61.8,58,7.35,7.38,4.56,11873
4464,1.02,Premium,D,SI2,62.7,58,6.36,6.41,4.01,5291
4465,1.02,Ideal,F,SI2,61.9,57,6.4,6.46,3.98,4327
4466,1.02,Ideal,E,SI2,60.2,57,6.53,6.57,3.94,4573
4467,1.01,Premium,H,VS2,61.1,59,6.51,6.46,3.97,4805
4468,0.42,Premium,F,VS2,62.9,59,4.77,4.74,3,1088
4469,1.51,Very Good,I,SI2,60.1,56,7.34,7.38,4.44,6319
4470,1.22,Very Good,I,SI1,60.2,58,6.94,7,4.18,6318
4471,1.51,Good,J,VS2,63.8,58,7.21,7.18,4.59,7911
4472,0.3,Ideal,I,VVS1,62.5,56,4.27,4.31,2.68,630
4473,0.34,Ideal,G,VVS2,62.1,56,4.48,4.51,2.79,775
4474,1,Fair,D,VVS2,64.5,58,6.26,6.19,4.01,9014
4475,0.32,Ideal,G,VS2,61.7,56,4.37,4.4,2.7,648
4476,1.52,Premium,F,VS2,62.8,60,7.33,7.32,4.6,14687
4477,0.73,Ideal,E,VS2,60.1,57,5.85,5.91,3.53,3451
4478,0.24,Very Good,F,VS1,63,58,3.92,3.95,2.48,419
4479,0.9,Premium,H,SI2,62.4,59,6.17,6.1,3.82,3032
4480,1.03,Premium,F,SI1,62.9,59,6.42,6.38,4.03,5816
4481,1.01,Premium,F,VS1,62.1,57,6.41,6.35,3.97,6951
4482,0.97,Premium,H,SI1,60.6,60,6.37,6.24,3.81,3920
4483,1.1,Premium,H,SI1,62.9,61,6.57,6.54,4.13,5315
4484,0.91,Ideal,I,SI2,61.4,57,6.21,6.25,3.83,3373
4485,1.51,Ideal,E,SI2,62.1,57,7.35,7.29,4.55,10080
4486,0.7,Premium,J,SI2,62.4,60,5.67,5.64,3.54,1944
4487,0.4,Ideal,F,VVS2,62.2,56,4.69,4.72,2.93,1116
4488,1.13,Ideal,G,VS2,62.2,58,6.64,6.68,4.14,6389
4489,1.19,Very Good,F,SI2,61.7,56,6.82,6.84,4.21,5831
4490,0.31,Ideal,D,VS1,61.4,56,4.34,4.37,2.67,673
4491,0.9,Very Good,G,VS2,62,58,6.17,6.19,3.83,4513
4492,1.2,Ideal,D,VVS2,60.3,57,6.89,6.92,4.16,13063
4493,1.06,Ideal,G,SI2,61.7,55,6.52,6.58,4.04,5760
4494,1.07,Good,H,VS2,58.9,62,6.65,6.67,3.93,5356
4495,0.43,Premium,G,VVS2,61.5,58,4.87,4.84,2.99,1155
4496,0.7,Good,G,SI1,62.2,60,5.63,5.65,3.51,2394
4497,0.31,Ideal,G,VVS2,62.2,55,4.39,4.34,2.71,878
4498,1.02,Premium,F,SI1,61.7,58,6.47,6.43,3.98,4466
4499,1.01,Good,H,SI1,58.4,60,6.61,6.66,3.88,4616
4500,0.72,Ideal,E,VS2,62,57,5.71,5.74,3.56,2979
4501,0.4,Very Good,G,VS2,63.4,57,4.68,4.71,2.98,827
4502,1.51,Ideal,G,SI1,61.8,57,7.34,7.3,4.53,11096
4503,0.32,Ideal,G,VS2,61.7,57,4.39,4.36,2.7,720
4504,1.03,Premium,G,VS2,62.9,58,6.39,6.35,4,5967
4505,0.82,Very Good,E,SI1,62.2,56,5.93,5.96,3.71,3334
4506,0.7,Very Good,G,VS2,59.2,57,5.73,5.79,3.42,2447
4507,0.72,Ideal,F,SI1,61.5,57,5.74,5.8,3.55,2797
4508,0.51,Ideal,H,VS1,61.2,55,5.16,5.18,3.16,1583
4509,0.4,Ideal,G,VS2,61.5,55,4.76,4.81,2.94,847
4510,1.3,Ideal,G,SI1,62.2,57,6.99,7.03,4.35,6661
4511,0.51,Ideal,G,VVS2,61.5,56,5.12,5.15,3.16,1974
4512,1.59,Ideal,I,SI2,62.6,56,7.43,7.44,4.66,8957
4513,1.53,Ideal,H,SI1,61.8,57,7.45,7.33,4.56,10302
4514,0.7,Ideal,E,VS2,61.9,57,5.68,5.72,3.52,2811
4515,0.34,Very Good,I,SI1,62.9,57,4.46,4.42,2.79,610
4516,2.01,Very Good,H,VS2,61.8,61,8.1,8.14,5.01,17267
4517,1.02,Good,D,SI2,59.8,60,6.52,6.47,3.88,4939
4518,1.27,Premium,I,VS1,61.2,60,7.03,6.96,4.29,7619
4519,0.5,Very Good,G,SI1,59.6,59,5.16,5.18,3.08,1151
4520,1,Very Good,G,VVS2,63.1,54,6.34,6.37,4.01,7257
4521,0.42,Ideal,D,VVS2,60.9,56,4.81,4.84,2.94,1342
4522,1.02,Premium,G,SI1,62.6,60,6.4,6.3,3.98,4200
4523,1.25,Ideal,G,VS2,59.2,57,7,7.06,4.19,8265
4524,0.3,Ideal,I,SI1,62.6,55,4.3,4.33,2.7,391
4525,0.7,Ideal,I,VVS2,61.2,57,5.76,5.79,3.53,3035
4526,0.32,Premium,H,VVS1,63,59,4.37,4.35,2.74,818
4527,0.36,Ideal,D,VS1,61.8,56,4.54,4.56,2.81,1066
4528,0.32,Ideal,F,IF,62.3,55,4.37,4.4,2.73,979
4529,2.03,Ideal,H,SI2,62.8,57,8.07,8.02,5.05,16575
4530,0.79,Ideal,F,VS2,61.6,56,5.88,5.92,3.65,3471
4531,0.41,Premium,F,VS1,62.4,58,4.74,4.78,2.97,1129
4532,2.06,Ideal,I,VS2,61.4,57,8.13,8.2,5.02,15007
4533,1.25,Ideal,G,IF,62.1,56,6.94,6.9,4.3,11667
4534,0.9,Premium,D,SI2,60.4,61,6.26,6.24,3.79,3734
4535,0.58,Ideal,H,VS1,61.5,54,5.42,5.47,3.35,1761
4536,1.02,Ideal,F,SI2,62.5,57,6.46,6.42,4.02,4805
4537,1.02,Premium,H,SI1,60.1,58,6.54,6.48,3.91,4932
4538,0.3,Very Good,H,SI1,61.9,58,4.25,4.27,2.64,540
4539,0.3,Ideal,F,VS1,60.8,56,4.34,4.37,2.65,652
4540,0.43,Ideal,G,VS1,62.5,54,4.89,4.84,3.04,1121
4541,0.56,Ideal,E,SI1,62.8,56,5.25,5.29,3.31,1437
4542,0.32,Premium,G,VS2,61.3,58,4.48,4.44,2.73,720
4543,0.31,Ideal,G,VVS1,61.4,57,4.4,4.42,2.71,977
4544,1.57,Ideal,H,VS1,62.4,53.8,7.41,7.45,4.63,12737
4545,1.04,Good,J,SI2,64.1,58,6.32,6.37,4.08,4008
4546,0.43,Premium,E,VS1,61,57,4.91,4.87,2.98,1240
4547,0.3,Ideal,E,VVS1,62.5,57,4.31,4.27,2.68,862
4548,1.1,Very Good,D,SI2,63.2,56,6.55,6.58,4.15,5027
4549,0.58,Very Good,I,SI2,59.1,57,5.46,5.42,3.21,957
4550,1.51,Premium,G,VS1,62.6,58,7.31,7.28,4.57,15618
4551,0.7,Very Good,G,VS2,62.8,57,5.66,5.69,3.56,2657
4552,0.61,Ideal,G,VS1,61.8,54,5.46,5.5,3.38,1931
4553,0.32,Ideal,E,VVS2,61.5,55,4.4,4.43,2.71,837
4554,0.4,Very Good,D,VS2,63.3,53,4.69,4.66,2.96,984
4555,1.05,Very Good,H,SI2,62.4,59,6.47,6.5,4.05,4256
4556,0.51,Ideal,E,SI1,62.2,53,5.17,5.19,3.22,1318
4557,0.91,Ideal,D,SI1,61.9,60,6.2,6.22,3.85,4568
4558,1,Premium,E,SI2,61.7,59,6.37,6.41,3.94,3665
4559,0.35,Ideal,E,SI1,62.4,55,4.52,4.55,2.83,791
4560,0.32,Ideal,F,VS2,62.1,57,4.38,4.41,2.73,645
4561,1.01,Premium,G,SI1,62.8,57,6.38,6.35,4,4805
4562,1.01,Premium,F,VS2,61.2,56,6.47,6.49,3.96,6911
4563,0.78,Ideal,G,VS2,62.5,56,5.87,5.9,3.68,3325
4564,0.3,Premium,D,VS2,59.8,60,4.36,4.38,2.6,734
4565,0.91,Premium,F,SI1,62.7,59,6.24,6.17,3.89,4036
4566,1.5,Very Good,G,SI1,63,59,7.23,7.27,4.58,9399
4567,0.31,Good,I,VS1,63.1,61,4.34,4.31,2.73,489
4568,0.52,Very Good,F,SI1,61.4,58,5.18,5.2,3.18,1433
4569,1.2,Ideal,H,VS2,62.2,57,6.74,6.82,4.22,6969
4570,0.3,Ideal,H,VVS2,62,54,4.35,4.32,2.69,651
4571,0.9,Ideal,H,VS2,62.1,55,6.16,6.21,3.85,4078
4572,1.2,Ideal,E,SI1,61.1,56,6.86,6.83,4.19,7392
4573,0.38,Ideal,E,VVS2,60.8,57,4.7,4.73,2.87,1200
4574,1.52,Premium,E,SI2,60.7,58,7.41,7.36,4.48,8810
4575,1.4,Ideal,H,VS2,61.1,57,7.21,7.16,4.39,8483
4576,0.71,Ideal,F,VS2,62.6,56,5.73,5.71,3.58,2822
4577,0.91,Very Good,D,SI2,63.3,57,6.08,6.12,3.86,3848
4578,0.91,Premium,E,SI2,60.1,60,6.19,6.22,3.73,3846
4579,0.72,Ideal,F,VS1,61.3,56,5.75,5.81,3.55,3210
4580,0.24,Very Good,E,VVS2,62.8,55,3.94,3.96,2.48,485
4581,1.41,Ideal,I,SI1,61.2,57,7.27,7.24,4.43,9069
4582,0.9,Very Good,D,SI2,63.2,58,6.12,6.17,3.88,3918
4583,0.3,Ideal,E,VS1,61.8,55,4.33,4.4,2.7,606
4584,0.3,Very Good,I,VVS1,59.2,59,4.31,4.35,2.56,608
4585,1.15,Ideal,I,VS2,62,56,6.7,6.76,4.17,5506
4586,2.01,Premium,H,SI2,62.6,59,8.03,7.94,5.01,12970
4587,0.32,Ideal,E,VS2,60.6,57,4.43,4.46,2.69,702
4588,0.53,Ideal,J,SI1,62.5,57,5.17,5.15,3.23,1092
4589,0.4,Ideal,F,VS1,62.1,55,4.74,4.69,2.94,1046
4590,1.04,Ideal,E,SI1,61,55,6.52,6.58,4,7523
4591,1.01,Good,E,SI2,64.1,58,6.38,6.28,4.05,4751
4592,0.51,Ideal,E,VS2,61.3,56,5.15,5.18,3.17,1692
4593,1.51,Premium,E,VS2,62.2,59,7.2,7.36,4.52,14844
4594,1.07,Premium,G,SI1,62.5,57,6.6,6.56,4.1,4586
4595,0.31,Ideal,E,SI1,62.3,57,4.37,4.33,2.71,698
4596,0.38,Ideal,G,SI1,61.9,56,4.64,4.67,2.88,840
4597,0.82,Very Good,E,SI1,62.4,59,5.97,5.95,3.72,3298
4598,0.7,Premium,F,SI1,62.9,59,5.62,5.65,3.55,2423
4599,1.09,Premium,H,VS1,62.8,56,6.62,6.56,4.14,5466
4600,0.3,Good,G,VVS2,63.5,55,4.33,4.31,2.74,684
4601,0.3,Premium,D,VS1,60.2,59,4.44,4.39,2.65,610
4602,0.42,Ideal,D,VS2,61.7,56,4.81,4.84,2.97,1163
4603,0.36,Ideal,E,VS2,61.7,55,4.57,4.6,2.83,807
4604,0.51,Ideal,F,VS1,61.5,55,5.17,5.15,3.17,1753
4605,1.01,Premium,H,SI1,60.4,59,6.49,6.44,3.91,4588
4606,1.01,Premium,F,SI2,62.5,57,6.4,6.35,3.99,4068
4607,1.01,Premium,J,SI1,59.1,62,6.5,6.46,3.84,3535
4608,0.31,Premium,F,VS2,61.8,56,4.39,4.35,2.7,802
4609,0.81,Very Good,G,SI1,60.3,59,6.05,6.11,3.68,2858
4610,0.58,Ideal,G,VS1,62.3,55,5.32,5.35,3.33,1857
4611,0.31,Ideal,G,IF,61.6,54,4.4,4.4,2.71,949
4612,0.32,Ideal,E,VS2,62.9,56,4.37,4.33,2.74,900
4613,0.36,Premium,E,VS2,61.4,59,4.56,4.61,2.82,958
4614,0.3,Ideal,D,VS2,62.3,56,4.31,4.28,2.68,740
4615,0.33,Very Good,G,VS2,62.9,57,4.42,4.41,2.77,579
4616,0.32,Ideal,H,VS2,61.4,56,4.41,4.42,2.71,505
4617,0.72,Good,E,VS2,63.7,57,5.63,5.68,3.62,2377
4618,0.6,Fair,H,VS2,65.7,54,5.31,5.22,3.46,1163
4619,1.01,Premium,H,SI2,62.3,61,6.42,6.37,3.98,3724
4620,0.32,Premium,F,VS2,61.2,58,4.43,4.46,2.72,602
4621,0.76,Ideal,E,SI2,61.3,54,5.88,5.92,3.62,3519
4622,0.71,Very Good,J,SI2,63.2,60,5.65,5.61,3.54,1408
4623,1.2,Ideal,F,VS2,63,57,6.71,6.75,4.24,8929
4624,0.57,Ideal,E,VS1,61.6,57,5.35,5.32,3.29,2125
4625,0.61,Ideal,D,SI1,62.4,55,5.42,5.45,3.39,1889
4626,1.01,Premium,D,SI1,62.6,58,6.45,6.41,4.02,5599
4627,2.03,Fair,F,SI2,64.7,59,7.89,7.94,5.15,18717
4628,0.5,Premium,G,VS1,60.6,59,5.07,5.06,3.06,1417
4629,0.42,Very Good,F,VVS2,63,59,4.76,4.79,3,1131
4630,0.32,Ideal,G,VS1,61.4,56,4.42,4.44,2.72,645
4631,1.2,Premium,G,SI1,63,58,6.75,6.71,4.28,6115
4632,1,Premium,F,SI2,60.9,60,6.49,6.44,3.95,3914
4633,0.53,Ideal,F,VS2,62.1,56,5.21,5.18,3.23,1629
4634,0.39,Ideal,E,VS2,59.4,62,4.8,4.77,2.85,852
4635,1.22,Ideal,G,VVS2,61.4,56,6.88,6.9,4.23,10284
4636,0.41,Very Good,E,SI2,63.2,55,4.75,4.77,3.01,682
4637,0.9,Very Good,H,VS1,62.7,54,6.12,6.1,3.84,4385
4638,0.33,Premium,D,VS2,61.6,60,4.45,4.49,2.75,853
4639,0.3,Ideal,G,VS1,62.5,56,4.32,4.35,2.7,605
4640,1.03,Ideal,H,SI1,60.3,56,6.56,6.6,3.97,4980
4641,2.01,Premium,J,SI1,59.3,59,8.26,8.21,4.89,12499
4642,0.56,Ideal,G,VS1,61.8,57,5.37,5.31,3.3,1809
4643,1.07,Ideal,H,SI1,61.8,56,6.58,6.55,4.06,5122
4644,1.01,Ideal,J,VS1,61.7,54,6.51,6.46,4,4111
4645,1.01,Premium,F,SI1,62.9,59,6.39,6.41,4.02,4668
4646,0.7,Good,E,SI2,63.9,61,5.6,5.56,3.55,2372
4647,0.31,Ideal,F,VVS1,61.5,56,4.37,4.39,2.69,769
4648,0.54,Ideal,G,VVS1,60.1,57,5.25,5.3,3.19,2080
4649,1.11,Fair,E,SI1,64.4,57,6.47,6.51,4.15,5082
4650,0.32,Ideal,D,SI1,61.9,56,4.38,4.41,2.72,736
4651,1.52,Very Good,I,SI1,62.9,59,7.31,7.34,4.62,8831
4652,1.5,Premium,J,SI2,59.3,62,7.38,7.48,4.41,4600
4653,0.9,Premium,G,SI1,62.2,58,6.09,6.12,3.8,3423
4654,1.21,Ideal,J,SI1,61.7,56,6.86,6.84,4.23,4508
4655,0.43,Ideal,D,VS2,62.2,55,4.84,4.88,3.02,1129
4656,1,Premium,F,SI1,59.8,59,6.52,6.47,3.88,5151
4657,1.03,Ideal,F,VVS1,62,56,6.47,6.47,4.01,9412
4658,0.53,Ideal,E,VVS1,61.6,56,5.18,5.21,3.2,2165
4659,2.01,Very Good,I,VS1,62.8,57,7.93,8.01,5.02,17103
4660,0.4,Good,H,VS1,63.9,56,4.66,4.71,3.01,810
4661,0.7,Good,F,SI2,63.9,57,5.6,5.63,3.59,1306
4662,0.96,Ideal,D,SI2,61.4,57,6.38,6.34,3.91,4132
4663,0.28,Ideal,F,IF,61.3,57,4.23,4.27,2.61,612
4664,0.31,Premium,H,VS1,61.8,58,4.33,4.37,2.69,565
4665,1.23,Ideal,G,IF,62.4,54,6.91,6.86,4.29,11666
4666,0.54,Ideal,G,VS1,62.5,57,5.2,5.23,3.25,1770
4667,0.72,Ideal,G,VVS2,62.3,57,5.74,5.76,3.58,2999
4668,0.91,Ideal,F,SI1,61.8,56,6.19,6.22,3.83,4258
4669,1.2,Premium,F,SI2,61.1,62,6.78,6.72,4.13,5226
4670,0.34,Ideal,H,VS1,62.2,53,4.47,4.5,2.78,589
4671,0.35,Ideal,H,VVS1,62.5,57,4.55,4.5,2.83,984
4672,1.03,Premium,F,VS1,61.5,58,6.47,6.52,4,7094
4673,0.51,Ideal,D,VVS2,62,53,5.12,5.13,3.18,2093
4674,1.22,Ideal,H,VS2,62.6,59,6.71,6.74,4.21,6968
4675,1.17,Ideal,G,VS2,62.1,55,6.8,6.74,4.21,7572
4676,0.36,Ideal,D,VS1,62.5,57,4.57,4.52,2.84,1094
4677,0.6,Ideal,H,VS1,61.7,56,5.43,5.46,3.36,2018
4678,0.41,Ideal,D,VS2,61.6,55,4.79,4.76,2.95,1074
4679,1.27,Premium,H,SI1,62,59,6.88,6.91,4.28,6215
4680,0.72,Very Good,E,VS2,62.2,59,5.68,5.72,3.55,2913
4681,0.28,Ideal,G,VS1,60.1,56,4.22,4.25,2.55,490
4682,0.91,Premium,I,VS1,62.5,57,6.19,6.15,3.86,3444
4683,0.54,Ideal,E,SI1,62,56,5.21,5.24,3.24,1577
4684,1.01,Premium,F,VS2,58.6,62,6.67,6.61,3.88,6271
4685,1.04,Ideal,G,VS2,61.2,57,6.52,6.55,4,6290
4686,0.9,Premium,F,SI1,62.2,59,6.19,6.14,3.83,4116
4687,0.36,Ideal,G,SI2,61.2,56,4.58,4.63,2.81,557
4688,0.31,Very Good,I,VS1,58.9,59,4.46,4.5,2.64,489
4689,1.2,Very Good,G,VS1,62,58,6.79,6.83,4.22,8014
4690,0.37,Premium,I,SI1,60.4,60,4.61,4.66,2.8,521
4691,0.58,Ideal,E,VS2,61.1,56,5.41,5.36,3.3,1808
4692,0.31,Premium,H,VS2,60.7,60,4.33,4.35,2.63,628
4693,0.34,Premium,H,VS2,60,62,4.51,4.46,2.69,689
4694,0.7,Ideal,I,SI1,62,57,5.68,5.71,3.53,2141
4695,2.02,Very Good,I,VS2,62.5,59,8.06,7.99,5.02,16422
4696,0.9,Very Good,I,VS1,61.1,58,6.25,6.29,3.83,3862
4697,0.31,Very Good,E,SI1,62.9,57,4.29,4.25,2.69,698
4698,0.58,Ideal,F,VS1,61.7,56,5.36,5.43,3.32,1977
4699,0.92,Ideal,D,SI1,62.3,56,6.18,6.25,3.87,4909
4700,0.7,Premium,H,VVS1,60.7,60,5.73,5.7,3.47,2753
4701,1.01,Very Good,F,VS2,60.1,60,6.5,6.54,3.92,6159
4702,1.51,Premium,G,VVS2,62.5,58,7.31,7.33,4.57,17235
4703,0.91,Good,G,SI2,63.3,59,6.08,6.11,3.86,3503
4704,1.05,Very Good,H,SI1,62.8,58,6.44,6.48,4.06,4665
4705,0.26,Ideal,G,VVS2,61.6,56,4.15,4.18,2.55,525
4706,1.05,Very Good,H,SI1,63.1,56,6.51,6.46,4.08,4855
4707,1.21,Premium,I,SI1,61.5,56,6.84,6.88,4.22,5166
4708,0.41,Premium,H,SI1,61.6,58,4.76,4.79,2.94,680
4709,0.31,Ideal,E,VVS1,61.1,57,4.37,4.4,2.68,863
4710,1.06,Ideal,E,SI2,61.3,56,6.55,6.58,4.03,4709
